Country,Clicks,Impressions,CTR,Position
India,629,1184,53.12%,6.2
Pakistan,147,247,59.51%,1.79
Bangladesh,31,50,62%,2.96
Philippines,19,46,41.3%,4.3
Nepal,16,27,59.26%,1.96
United States,12,117,10.26%,36.72
Indonesia,11,15,73.33%,1.93
Canada,4,13,30.77%,20.15
Malaysia,4,6,66.67%,1.67
Italy,3,11,27.27%,3.18
United Arab Emirates,3,5,60%,1.6
Netherlands,3,4,75%,1.25
Singapore,2,11,18.18%,2.55
Australia,2,10,20%,16.6
France,2,8,25%,14.25
Spain,2,7,28.57%,4.43
Turkey,2,7,28.57%,11
Sri Lanka,2,7,28.57%,15.29
Ireland,2,6,33.33%,3.17
Mexico,2,4,50%,3
Fiji,2,3,66.67%,1
Vietnam,2,3,66.67%,1
Saudi Arabia,2,3,66.67%,1.33
Greece,2,3,66.67%,7.33
Argentina,2,2,100%,1
Iran,2,2,100%,1.5
South Africa,2,2,100%,2
United Kingdom,1,24,4.17%,40.58
Germany,1,21,4.76%,9.9
Egypt,1,3,33.33%,1.33
Hungary,1,3,33.33%,2.33
Japan,1,3,33.33%,2.67
Israel,1,3,33.33%,3.67
Cyprus,1,2,50%,3.5
Oman,1,2,50%,5.5
Bulgaria,1,1,100%,1
Bahrain,1,1,100%,1
Kenya,1,1,100%,1
Maldives,1,1,100%,1
Uzbekistan,1,1,100%,1
Qatar,1,1,100%,3
Brazil,0,4,0%,5.75
Austria,0,3,0%,3.33
Switzerland,0,2,0%,1
Poland,0,2,0%,2
South Korea,0,2,0%,2.5
Russia,0,2,0%,2.5
Tunisia,0,2,0%,2.5
China,0,1,0%,1
Colombia,0,1,0%,1
Georgia,0,1,0%,1
Nigeria,0,1,0%,1
Puerto Rico,0,1,0%,1
Taiwan,0,1,0%,1
Albania,0,1,0%,2
Belgium,0,1,0%,2
Peru,0,1,0%,2
Romania,0,1,0%,5
Lithuania,0,1,0%,6
Thailand,0,1,0%,7
Armenia,0,1,0%,8
Portugal,0,1,0%,8
Congo - Kinshasa,0,1,0%,13
Sudan,0,1,0%,16
